timeline,low,tertile,medium,high
1270.0,0.9115941268362939,low,,
1272.0,0.9055570796387025,low,,
1288.0,0.9055570796387025,low,,
1324.0,0.8994795153458248,low,,
1325.0,0.8994795153458248,low,,
1363.0,0.8994795153458248,low,,
1365.0,0.8933186967475657,low,,
1369.0,0.8933186967475657,low,,
1371.0,0.8933186967475657,low,,
1417.0,0.8933186967475657,low,,
1430.0,0.8870277200099068,low,,
1434.0,0.8870277200099068,low,,
1439.0,0.8806918077241219,low,,
1463.0,0.8806918077241219,low,,
1471.0,0.8806918077241219,low,,
1474.0,0.8806918077241219,low,,
1476.0,0.8806918077241219,low,,
1477.0,0.8806918077241219,low,,
1492.0,0.8806918077241219,low,,
1523.0,0.8806918077241219,low,,
1528.0,0.8806918077241219,low,,
1532.0,0.8806918077241219,low,,
1534.0,0.8806918077241219,low,,
1546.0,0.8806918077241219,low,,
1547.0,0.8806918077241219,low,,
1556.0,0.8737572265609399,low,,
1572.0,0.8737572265609399,low,,
1587.0,0.8737572265609399,low,,
1604.0,0.8737572265609399,low,,
1611.0,0.8737572265609399,low,,
1612.0,0.8737572265609399,low,,
1614.0,0.8737572265609399,low,,
1620.0,0.8737572265609399,low,,
1673.0,0.8663525043019488,low,,
1686.0,0.8663525043019488,low,,
1688.0,0.8663525043019488,low,,
1692.0,0.8588190042645406,low,,
1780.0,0.8588190042645406,low,,
1783.0,0.8588190042645406,low,,
1800.0,0.8588190042645406,low,,
1836.0,0.8588190042645406,low,,
1866.0,0.8588190042645406,low,,
1871.0,0.8588190042645406,low,,
1873.0,0.8588190042645406,low,,
1876.0,0.8588190042645406,low,,
1882.0,0.8588190042645406,low,,
1887.0,0.8588190042645406,low,,
1914.0,0.8588190042645406,low,,
1935.0,0.8588190042645406,low,,
1953.0,0.8588190042645406,low,,
1972.0,0.8588190042645406,low,,
1988.0,0.8588190042645406,low,,
2019.0,0.8588190042645406,low,,
2048.0,0.8588190042645406,low,,
2072.0,0.8588190042645406,low,,
2091.0,0.8588190042645406,low,,
2097.0,0.8496826318787479,low,,
2108.0,0.8496826318787479,low,,
2109.0,0.8496826318787479,low,,
2124.0,0.8496826318787479,low,,
2155.0,0.8496826318787479,low,,
2161.0,0.8496826318787479,low,,
2190.0,0.8496826318787479,low,,
2193.0,0.8496826318787479,low,,
2240.0,0.8496826318787479,low,,
2246.0,0.8496826318787479,low,,
2255.0,0.8496826318787479,low,,
2282.0,0.8496826318787479,low,,
2288.0,0.8496826318787479,low,,
2306.0,0.8496826318787479,low,,
2329.0,0.8496826318787479,low,,
2361.0,0.8387892648033797,low,,
2365.0,0.8387892648033797,low,,
2371.0,0.8387892648033797,low,,
2381.0,0.8387892648033797,low,,
2385.0,0.8387892648033797,low,,
2403.0,0.8387892648033797,low,,
2406.0,0.8387892648033797,low,,
2426.0,0.8387892648033797,low,,
2442.0,0.8387892648033797,low,,
2477.0,0.8387892648033797,low,,
2483.0,0.8264541285562707,low,,
2513.0,0.8264541285562707,low,,
2551.0,0.8137394496554049,low,,
2558.0,0.8137394496554049,low,,
2573.0,0.8008229504545256,low,,
2590.0,0.8008229504545256,low,,
2596.0,0.8008229504545256,low,,
2629.0,0.8008229504545256,low,,
2632.0,0.8008229504545256,low,,
2645.0,0.8008229504545256,low,,
2653.0,0.8008229504545256,low,,
2709.0,0.8008229504545256,low,,
2721.0,0.8008229504545256,low,,
2770.0,0.8008229504545256,low,,
