sample_id,CAF_proxy-high_checkpoint_score-low,immune-desert_APM-low,TLS-rich,CAF_proxy-high_CXCL1_MDSC_axis-low,antigen-presenting,immune-desert
TCGA-A2-A25A,0.9059427134560685,0.37934323050134117,0.18694640470393642,0.09911286448285389,0.2157347490319862,0.25567439777838835
TCGA-A2-A25B,0.4910268111194137,0.1979372610844643,0.10969928761542976,0.37541475964277715,0.13467667720257168,0.48206122954961406
TCGA-A2-A25C,0.5430369941248055,0.05546637245327881,0.14700057241480952,0.41150182261929574,0.5231504068531039,0.16821829917709302
TCGA-A2-A25D,0.4864476938374669,0.27373041786758673,0.39413761074509585,0.3087532538478828,0.42719426582869563,0.4302834137474824
TCGA-A2-A25E,0.5757251273624254,0.29384433516391373,0.20822296670532608,0.40011519306928867,0.22759909029405923,0.12363316705931202
TCGA-A2-A25F,0.5964117748150212,0.36276433130215796,0.631933682371014,0.12069781221844265,0.23623449925612205,0.7750864405595977
TCGA-A2-A3KC,0.7527833319807643,0.1229060477585031,0.10239358700122513,0.3035809220560364,0.12924151579683782,0.29696670489400495
TCGA-A2-A3KD,0.7208231375897746,0.4463391207021089,0.08860545351184411,0.11278714824236567,0.08964211840530692,0.19059993115346413
TCGA-A2-A3XS,0.41910658827571895,0.20745511348262763,0.29981841366355727,0.5096730753273792,0.2620248601467525,0.2005709551505939
TCGA-A2-A3XT,0.39821311068100107,0.4047613363880499,0.19223593760159285,0.31222721483084,0.39282638056434777,0.48009934822195854
TCGA-A2-A3XU,0.12521588242296253,0.40020507114124554,0.019071193909095587,0.3551775778749524,0.5080619363862008,0.0
TCGA-A2-A3XV,0.24021228044608456,0.18827570946040845,0.046643086729989465,0.5546740088004963,0.2550619446800797,0.3837868415307657
TCGA-A2-A3XW,0.6100926492875464,0.3621013186808489,0.1885614513879391,0.10405728963876122,0.3213445027346719,0.4062153358946239
TCGA-A2-A3XX,0.2948492727232946,0.23919641025514551,0.3048281846715196,0.6060384484724445,0.3971446032128887,0.18179295228714476
TCGA-A2-A3XY,0.6117725048679459,0.35868710370615775,0.3319833869971218,0.3792464174774978,0.322215613436008,0.3162237397539997
TCGA-A2-A3XZ,0.5170866833234042,0.3836389933525895,0.58431574729547,0.18200678260562075,0.3608060883898196,0.2516853308912563
TCGA-A2-A3Y0,0.03896870279085483,0.8174592082162464,0.2772683251730474,0.508629573323962,0.5454814248284372,0.4592414735301376
TCGA-A2-A4RW,0.5681606867218549,0.04859539809004619,0.19187954485268816,0.4123995539763635,0.2198663880656481,0.2939388430008482
TCGA-A2-A4RX,0.5198202031179383,0.5616786628687325,0.3579651292610046,0.6971983637691712,0.2768734555059838,0.021560057726107435
TCGA-A2-A4RY,0.8237846056996583,0.24478757977157425,0.30507448186863706,0.2250638789930567,0.2719132486956596,0.023249119028831353
TCGA-A2-A4S0,0.35276839320998643,0.12076322265378389,0.05072351438149363,0.41413837076055265,0.26782655553002793,0.18458137296639165
TCGA-A2-A4S1,0.715422815657212,0.184923033622429,0.0017405747030997938,0.16469058054967237,0.10854488303439247,0.7323283879429763
TCGA-A2-A4S2,0.5382631491133925,0.08417319049914193,0.18519608354012423,0.27332235534432114,0.512058180127943,0.43760277780804163
TCGA-A2-A4S3,0.20864549006855843,0.05352579977328096,0.22517141083035885,0.5764331138143509,0.48550609219921004,0.3896029021087773
TCGA-A7-A0CD,0.5678944613567944,0.028565742870639864,0.040385513895044786,0.34487746827000626,0.443719494176853,0.08516559026837223
TCGA-A7-A0CE,0.5073744821145982,0.46469736905831155,0.09744917882530114,0.32350609686442605,0.45851919843158806,0.1356055238168128
TCGA-A7-A0CG,0.5966616555425694,0.23308925237379977,0.3024464200235522,0.31948266079939647,0.1640778288501047,0.4005590807947688
TCGA-A7-A0CH,0.6107481261298383,0.24689783400406234,0.12212828285517566,0.2850053555285294,0.146693760961869,0.30358819723095604
